Year,Region,Harvest,SE
1985,YKD,4031,1052
1986,YKD,3091,439
1987,YKD,1352,415
1988,YKD,,
1989,YKD,1616,403
1990,YKD,3440,670
1991,YKD,2394,557
1992,YKD,2669,414
1993,YKD,2602,824
1994,YKD,1493,184
1995,YKD,2041,250
1996,YKD,2374,418
1997,YKD,1469,167
1998,YKD,1899,130
1999,YKD,818,94
2000,YKD,1351,269
2001,YKD,1078,152
2002,YKD,1250,132
2003,YKD,,
2004,YKD,1692,
2005,YKD,631,
1985,BBR,,
1986,BBR,,
1987,BBR,,
1988,BBR,,
1989,BBR,,
1990,BBR,,
1991,BBR,,
1992,BBR,,
1993,BBR,,
1994,BBR,,
1995,BBR,439,
1996,BBR,,
1997,BBR,320,
1998,BBR,,
1999,BBR,422,
2000,BBR,,
2001,BBR,123,7
2002,BBR,167,40
2003,BBR,,
2004,BBR,203,
2005,BBR,181,
1985,BSNS,,
1986,BSNS,,
1987,BSNS,,
1988,BSNS,,
1989,BSNS,,
1990,BSNS,,
1991,BSNS,,
1992,BSNS,,
1993,BSNS,,
1994,BSNS,,
1995,BSNS,,
1996,BSNS,,
1997,BSNS,,
1998,BSNS,,
1999,BSNS,,
2000,BSNS,,
2001,BSNS,1755,
2002,BSNS,,
2003,BSNS,,
2004,BSNS,,
2005,BSNS,,
